Loan_ID,Customer_ID,Customer_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Salary,Other_Income,Loan_Amount,Product_Type,Credit_Score,Tenure_Months,Interest_Rate,EMI,Current_Status,Delinquency_Flag,Channel,Issue_Date,Region
L0020,C00020,64,Male,Married,1,Bachelors,Salaried,15827369,6874399,480223170,Mortgage,580,48,18.28,12397806,Active,0,Branch,10-06-2025,Surabaya
L0021,C00021,50,Female,Single,3,Bachelors,Salaried,24625255,9103611,245556049,Personal,766,60,18.88,19585069,Restructured,0,Online,09-05-2025,Bali
L0022,C00022,58,Male,Married,1,High School,Salaried,10369337,5860616,400140518,Personal,661,48,16.94,16158830,Active,0,Online,05-10-2022,Bali
L0023,C00023,22,Female,Married,2,High School,Freelancer,35687424,2275598,252417992,Auto,595,36,18,10311487,Active,0,Branch,11-12-2024,Medan
L0024,C00024,41,Male,Married,2,Masters,Salaried,54402947,4892571,223824883,Education,646,72,9.55,15244799,Active,0,Partner,10-12-2022,Jakarta
L0025,C00025,53,Male,Single,0,Bachelors,Self-Employed,38331693,4491260,384576587,Personal,754,48,23.23,15262957,Active,0,Partner,05-08-2023,Surabaya
L0026,C00026,32,Male,Married,2,Bachelors,Self-Employed,39434864,9224610,108914436,Auto,601,24,20.65,7513766,Active,0,Agent,04-09-2024,Bandung
L0027,C00027,42,Male,Single,1,Bachelors,Freelancer,20235953,9750229,394348994,Mortgage,687,24,13.98,11985104,Active,1,Online,30-05-2023,Surabaya
L0028,C00028,64,Male,Single,3,High School,Freelancer,20534442,9559250,179377912,Mortgage,765,48,17.01,11137641,Closed,1,Online,20-08-2024,Surabaya
L0029,C00029,45,Male,Divorced,0,High School,Salaried,11227740,8779116,407548125,Personal,623,48,8.76,3993518,Closed,1,Online,12-09-2022,Medan
L0030,C00030,47,Male,Single,1,Bachelors,Self-Employed,18945748,5948491,459361347,Auto,590,24,8.66,6993265,Active,0,Partner,17-10-2022,Surabaya
L0031,C00031,62,Female,Married,3,High School,Freelancer,19649817,10157715,125196868,Personal,772,24,12.01,2057980,Closed,0,Online,25-09-2023,Medan
L0032,C00032,48,Female,Married,0,High School,Salaried,12857997,36160,430237440,Education,626,72,19.04,3032479,Active,0,Online,07-09-2024,Medan
L0033,C00033,36,Female,Married,2,Masters,Salaried,34988602,19156,217961178,Personal,680,12,21.63,1896881,Active,0,Branch,23-08-2023,Bali
L0034,C00034,35,Female,Married,1,PhD,Salaried,8939625,7416240,30909659,Personal,736,36,16.95,19377764,Closed,0,Branch,05-08-2023,Bandung
L0035,C00035,64,Female,Single,3,Masters,Freelancer,6629618,2570348,171826844,Personal,663,12,16.51,2641455,Delinquent,0,Partner,28-05-2025,Medan
L0036,C00036,23,Male,Single,0,Masters,Freelancer,58706423,2562688,85029201,Personal,601,60,14.44,5927386,Active,0,Branch,10-02-2023,Jakarta
L0037,C00037,57,Male,Married,0,High School,Salaried,32355826,6964745,441461899,Mortgage,711,12,10.59,1264826,Active,0,Branch,08-01-2024,Jakarta
L0038,C00038,27,Female,Single,2,PhD,Salaried,16381957,13042734,347699148,Personal,726,48,9.89,16839826,Active,0,Branch,28-11-2024,Bandung
L0039,C00039,41,Male,Single,3,High School,Salaried,44537791,12540282,49333160,Personal,705,12,20.17,4691848,Active,0,Partner,26-11-2024,Medan
L0040,C00040,29,Female,Single,2,PhD,Salaried,31408346,5474106,357526273,Auto,760,48,22.84,8881317,Active,0,Online,13-07-2025,Bandung
L0041,C00041,59,Female,Single,2,PhD,Contract,7568101,7795807,115956644,Personal,636,60,15.33,14928272,Restructured,1,Online,11-05-2024,Bali
L0042,C00042,38,Male,Single,3,Masters,Salaried,37273223,10203238,147002703,Personal,658,36,18.55,6712978,Delinquent,0,Online,12-03-2023,Jakarta
L0043,C00043,24,Male,Single,3,PhD,Salaried,52004736,14093179,495391279,BNPL,773,36,22.63,8190063,Closed,0,Online,10-12-2023,Surabaya
L0044,C00044,45,Male,Married,3,Bachelors,Salaried,34163760,4914005,421024407,Mortgage,690,36,9.44,15007882,Active,0,Partner,20-01-2025,Jakarta
L0045,C00045,34,Female,Married,1,High School,Self-Employed,56629424,881809,71803618,Education,774,24,20.33,2645589,Closed,0,Online,28-04-2025,Medan
L0046,C00046,29,Male,Married,3,Bachelors,Salaried,32207039,4499311,153058325,BNPL,775,60,17.87,11613891,Active,0,Agent,22-02-2024,Bandung
L0047,C00047,46,Female,Single,0,Bachelors,Self-Employed,29423854,9125805,472192995,Mortgage,774,24,17.58,18871312,Active,1,Online,17-05-2025,Jakarta
L0048,C00048,22,Female,Single,2,High School,Salaried,31973141,6356895,266517622,Personal,797,48,12.68,4931041,Active,1,Partner,12-10-2024,Surabaya
L0049,C00049,40,Female,Single,1,Bachelors,Salaried,42257022,3808282,227050937,Mortgage,618,24,18.94,14784330,Closed,0,Partner,01-07-2025,Surabaya
L0050,C00050,48,Male,Married,3,PhD,Salaried,48426742,645649,384011053,BNPL,669,24,20.72,12906167,Delinquent,0,Branch,13-01-2024,Bandung
L0051,C00051,27,Male,Married,1,High School,Salaried,27224699,8601594,420779676,Mortgage,616,24,9.81,11303069,Active,0,Branch,19-12-2024,Bandung
L0052,C00052,64,Female,Single,3,Masters,Salaried,52866466,11731622,499616290,Auto,610,36,16.54,11936713,Active,0,Online,11-12-2022,Jakarta
L0053,C00053,28,Male,Divorced,1,Masters,Freelancer,21740925,6125488,54087791,Personal,737,36,9.62,14117447,Active,1,Branch,07-11-2022,Medan
L0054,C00054,55,Male,Single,2,Masters,Freelancer,13018205,12026844,144366197,BNPL,620,48,21.96,2763655,Delinquent,0,Online,07-06-2025,Bali
L0055,C00055,34,Male,Married,2,PhD,Contract,9928476,8418385,188498190,Mortgage,701,24,16.12,19253686,Active,1,Branch,13-10-2024,Surabaya
L0056,C00056,37,Female,Married,0,Bachelors,Salaried,8886613,3402155,165165499,Education,740,12,20.93,8332129,Active,0,Partner,15-02-2024,Bandung
L0057,C00057,56,Female,Married,0,PhD,Contract,42564874,3827271,361318366,Personal,763,48,13.89,14063930,Closed,0,Online,16-12-2022,Bali
L0058,C00058,60,Male,Married,3,Masters,Salaried,52204477,4614965,479547561,Personal,786,60,10,16935998,Active,0,Partner,02-03-2023,Bali
L0059,C00059,24,Female,Married,2,High School,Salaried,41859292,198110,225025640,Personal,738,12,8.66,10324118,Active,0,Online,15-06-2023,Bali
L0060,C00060,22,Male,Single,1,Bachelors,Salaried,18034994,13616893,94402474,Mortgage,700,48,12.5,6389003,Active,0,Branch,06-03-2025,Medan
L0061,C00061,26,Male,Married,1,Masters,Salaried,13722856,4079430,28868041,Personal,579,36,11.91,2542549,Closed,0,Agent,01-05-2024,Bandung
L0062,C00062,62,Male,Single,1,High School,Self-Employed,29873513,8803235,455116336,Personal,737,48,16.97,3132720,Active,0,Branch,08-03-2025,Surabaya
L0063,C00063,24,Male,Married,0,Bachelors,Salaried,55993088,11191697,399166271,Education,695,60,8.35,13165951,Restructured,0,Branch,22-05-2023,Bandung
L0064,C00064,49,Female,Married,1,Bachelors,Salaried,6193502,10763771,342453535,Personal,645,60,16.33,13861408,Closed,0,Partner,18-04-2025,Jakarta
L0065,C00065,38,Female,Married,0,High School,Self-Employed,53094365,3732517,403291839,BNPL,605,48,14.27,5453595,Active,0,Agent,05-02-2024,Surabaya
L0066,C00066,46,Female,Married,0,Bachelors,Salaried,29799633,3291066,222419314,Personal,602,24,17.23,13986474,Active,0,Online,26-01-2023,Bandung
L0067,C00067,64,Male,Married,3,Masters,Salaried,8329782,13273480,390134145,BNPL,556,60,19.24,11541664,Active,0,Branch,14-03-2025,Surabaya
L0068,C00068,54,Male,Married,1,Bachelors,Salaried,45411257,14277320,90989847,Auto,646,36,18.15,19757331,Active,0,Branch,25-01-2025,Jakarta
L0069,C00069,30,Male,Married,1,High School,Freelancer,10116176,7764461,40459094,Education,746,12,23.75,1908573,Delinquent,0,Online,17-03-2025,Surabaya
L0070,C00070,56,Female,Single,2,High School,Freelancer,14143589,14294215,247299877,Education,662,36,10.21,16469349,Delinquent,1,Online,21-05-2023,Bali
L0071,C00071,34,Male,Single,3,Bachelors,Salaried,38935757,8119550,474453150,Personal,769,60,14.88,1346300,Active,0,Online,06-03-2025,Medan
L0072,C00072,51,Female,Single,2,Masters,Salaried,14202134,8336562,334011890,Personal,674,60,14.8,5460624,Active,0,Branch,01-10-2022,Jakarta
L0073,C00073,35,Female,Single,3,High School,Salaried,39517976,4753954,151466855,Personal,749,12,14.67,1624747,Active,0,Partner,22-04-2024,Surabaya
L0074,C00074,28,Female,Married,1,Bachelors,Freelancer,7426062,14930513,102806937,Mortgage,756,48,18.62,17147776,Active,1,Partner,24-01-2023,Jakarta
L0075,C00075,34,Female,Single,0,High School,Salaried,13209517,6605188,462093468,BNPL,729,60,15.84,12672237,Active,0,Branch,04-11-2023,Bali
L0076,C00076,43,Female,Divorced,0,Bachelors,Salaried,46049527,9606541,158890818,Auto,681,24,16.28,15803289,Active,0,Online,05-05-2024,Medan
L0077,C00077,60,Female,Single,0,Masters,Salaried,47548791,1699547,117860473,Mortgage,711,36,14.92,3318890,Restructured,0,Online,05-11-2023,Jakarta
L0078,C00078,41,Male,Single,0,Masters,Salaried,15127222,11266205,182156237,Personal,746,48,23.87,10293498,Active,0,Online,03-04-2023,Bali
L0079,C00079,36,Male,Married,0,High School,Salaried,39512811,4400131,145347503,BNPL,710,36,22.84,3575228,Active,0,Branch,22-08-2024,Bali
L0080,C00080,38,Female,Married,2,Bachelors,Freelancer,27046177,6494374,202674624,Education,670,12,12.92,5050338,Delinquent,0,Online,20-07-2023,Bali
L0081,C00081,44,Female,Married,3,High School,Salaried,18655842,7638483,44725365,Personal,746,48,9.79,9631334,Active,1,Branch,05-01-2024,Surabaya
L0082,C00082,46,Male,Married,1,Bachelors,Salaried,51754929,11498431,263049689,Auto,587,60,21.44,10109810,Active,1,Agent,15-10-2023,Bandung
L0083,C00083,45,Female,Married,2,Bachelors,Freelancer,16290492,8731032,113182225,Personal,775,48,23.95,4574787,Active,0,Partner,05-02-2025,Jakarta
L0084,C00084,61,Female,Single,3,High School,Freelancer,54347456,9850267,94745814,Auto,671,48,12.68,10094776,Active,0,Partner,25-09-2022,Bandung
L0085,C00085,49,Male,Divorced,0,High School,Salaried,42581619,2940107,48761620,Auto,575,36,13.72,9854604,Restructured,0,Branch,27-09-2024,Bali
L0086,C00086,35,Female,Divorced,3,Bachelors,Salaried,27666068,2050241,271714680,Personal,678,24,23.07,19176178,Delinquent,0,Online,13-01-2024,Bandung
L0087,C00087,21,Female,Married,3,Masters,Salaried,44881413,11409642,118905876,Auto,553,48,19.38,16451876,Delinquent,0,Online,01-12-2023,Bali
L0088,C00088,45,Female,Single,0,PhD,Freelancer,5006464,4934349,414525338,Personal,588,24,12.73,19120979,Delinquent,0,Partner,12-04-2024,Bali
L0089,C00089,27,Male,Married,0,High School,Salaried,14978034,1156245,319894505,Auto,603,60,17.3,7427799,Active,0,Branch,09-10-2023,Medan
L0090,C00090,29,Male,Single,0,Masters,Freelancer,38399680,4926622,71428090,Auto,767,12,23.11,18636515,Delinquent,0,Branch,19-06-2024,Medan
L0091,C00091,44,Male,Single,1,Bachelors,Self-Employed,59057178,158998,145131333,Personal,710,36,20.99,3436385,Restructured,0,Online,02-06-2024,Bandung
L0092,C00092,21,Female,Single,0,Bachelors,Salaried,20055636,10064687,96895606,Mortgage,582,36,19.87,10927276,Active,0,Branch,24-07-2025,Jakarta
L0093,C00093,64,Female,Married,1,Masters,Salaried,6161140,9011603,103785087,Mortgage,749,60,19.79,1979581,Active,0,Online,20-02-2024,Bandung
L0094,C00094,28,Male,Married,0,Masters,Salaried,58944811,3762853,169400491,Personal,569,24,10.85,8530223,Active,0,Online,07-06-2023,Jakarta
L0095,C00095,44,Female,Married,1,PhD,Salaried,16042682,4050230,477624291,Personal,565,12,21.19,4812661,Active,0,Online,03-06-2024,Bandung
L0096,C00096,31,Female,Married,3,Bachelors,Salaried,48778108,10391619,356474011,Mortgage,698,24,12.42,15308257,Active,1,Branch,16-04-2023,Surabaya
L0097,C00097,37,Female,Married,2,Bachelors,Self-Employed,44344665,6184398,106775596,Education,722,60,22.89,3969554,Delinquent,1,Online,14-06-2025,Surabaya
L0098,C00098,28,Female,Single,3,Masters,Contract,55596687,14925911,213359248,Personal,796,24,13.83,19112400,Delinquent,0,Online,09-09-2022,Jakarta
L0099,C00099,55,Female,Single,3,High School,Salaried,31557403,9664728,150708478,Personal,797,24,21.72,2484632,Active,0,Partner,17-05-2025,Medan
L0100,C00100,55,Male,Divorced,0,Bachelors,Self-Employed,21396352,8206336,285657082,Personal,676,12,12.26,6160593,Active,0,Branch,27-06-2024,Jakarta
L0101,C00101,53,Female,Single,1,Bachelors,Salaried,40630691,5170310,385452327,Auto,767,48,16.23,19370742,Delinquent,0,Branch,11-06-2023,Bandung
L0102,C00102,25,Male,Married,2,Bachelors,Salaried,15589887,13457080,402858105,Personal,636,12,9.71,15598215,Closed,0,Branch,27-02-2023,Bali
L0103,C00103,62,Female,Married,0,High School,Salaried,17679338,4461918,274111859,Personal,631,24,18.56,5662543,Active,0,Agent,25-03-2024,Surabaya
L0104,C00104,59,Male,Married,0,High School,Self-Employed,35601080,11761803,399165954,Mortgage,611,24,21.38,7535893,Closed,0,Online,23-05-2023,Bali
L0105,C00105,61,Female,Married,0,Masters,Freelancer,31226362,13777513,334419659,Auto,580,36,19.5,11198483,Delinquent,0,Online,08-04-2023,Surabaya
L0106,C00106,48,Male,Married,3,High School,Self-Employed,56727750,1808516,283633510,Personal,793,48,16.37,10255180,Delinquent,1,Branch,25-02-2023,Bandung
L0107,C00107,27,Female,Married,1,Bachelors,Salaried,55335659,956011,187428171,Auto,591,36,8.72,4097619,Active,0,Online,01-04-2023,Surabaya
L0108,C00108,29,Male,Divorced,1,High School,Salaried,57296372,3657905,405580353,Auto,561,60,22.94,16362625,Active,0,Branch,22-05-2024,Jakarta
L0109,C00109,28,Female,Married,2,High School,Salaried,17602694,12413737,336036727,Personal,614,72,19.29,7097890,Delinquent,0,Branch,25-10-2024,Bali
L0110,C00110,32,Male,Single,1,High School,Salaried,20927403,3761509,190504877,Personal,783,36,19.93,15730030,Active,0,Agent,04-09-2023,Bali
L0111,C00111,54,Female,Married,1,High School,Freelancer,38150798,9181563,246735189,BNPL,622,48,20.71,12525284,Closed,0,Partner,14-10-2022,Bandung
L0112,C00112,53,Male,Divorced,0,Masters,Freelancer,19671009,9655179,410328918,Personal,680,48,19.96,12944245,Active,0,Agent,04-02-2024,Bali
L0113,C00113,43,Male,Single,0,High School,Self-Employed,13821549,10149734,440066845,Mortgage,664,60,15.06,4480069,Active,0,Online,12-07-2024,Bandung
L0114,C00114,44,Female,Married,3,PhD,Salaried,16577795,4110993,108150468,Education,767,36,19.74,5575363,Active,1,Partner,17-12-2022,Medan
L0115,C00115,57,Female,Married,0,Bachelors,Salaried,24485901,8681921,178149384,Personal,686,36,18,18197810,Active,0,Online,17-02-2024,Jakarta
L0116,C00116,55,Male,Married,0,Bachelors,Salaried,39157583,14201417,292936404,Personal,655,36,21.66,4000758,Delinquent,1,Branch,22-11-2022,Surabaya
L0117,C00117,64,Female,Single,0,Bachelors,Salaried,20589702,12736974,341829514,Auto,728,60,20.84,1929441,Active,0,Partner,12-12-2023,Surabaya
L0118,C00118,60,Male,Married,0,Bachelors,Salaried,21091794,9991133,258648772,BNPL,565,24,8.66,1702726,Delinquent,0,Online,21-07-2025,Surabaya
L0119,C00119,42,Male,Divorced,3,Masters,Self-Employed,53604169,1717355,224147682,Education,765,24,14.06,10247362,Delinquent,0,Branch,04-07-2025,Medan
L0120,C00120,47,Male,Single,0,High School,Self-Employed,34092273,12335225,299666394,Mortgage,791,36,8.56,7131630,Active,0,Online,21-05-2024,Jakarta
L0121,C00121,55,Female,Single,2,Bachelors,Salaried,46665616,5048336,116984432,Personal,627,24,9.63,9297696,Closed,1,Online,13-11-2024,Bali
L0122,C00122,21,Male,Divorced,2,Masters,Salaried,19367204,14259395,18623041,Mortgage,674,36,17.62,12055361,Active,0,Agent,02-10-2024,Bali
L0123,C00123,55,Male,Single,2,Masters,Salaried,12285387,11872582,171409751,Auto,680,12,21.98,11720489,Closed,0,Online,07-09-2024,Jakarta
L0124,C00124,57,Female,Married,2,Masters,Salaried,26879583,6848829,396240414,Auto,775,24,9.92,10726360,Active,0,Online,12-02-2023,Jakarta
L0125,C00125,34,Female,Married,0,Bachelors,Freelancer,26277544,11631400,335526176,Personal,774,60,15.22,19310971,Active,0,Branch,05-01-2023,Surabaya
L0126,C00126,23,Female,Single,2,Masters,Salaried,26085523,4900318,111112230,Personal,791,36,22.57,2041431,Active,0,Partner,18-02-2023,Bali
L0127,C00127,21,Female,Married,0,Bachelors,Salaried,35548096,9836530,96543965,Mortgage,701,48,21.03,6600350,Closed,0,Online,17-07-2024,Jakarta
L0128,C00128,25,Male,Married,3,Bachelors,Salaried,42999342,7970043,115905325,Auto,750,12,16.31,4494029,Delinquent,1,Online,05-07-2025,Bali
L0129,C00129,46,Male,Married,2,High School,Freelancer,5731636,8521722,82881828,Personal,690,24,20.35,9830645,Active,0,Partner,14-10-2024,Jakarta
L0130,C00130,34,Male,Single,1,Bachelors,Salaried,51697529,11342326,473255666,Personal,679,60,16.36,13611277,Active,0,Online,28-04-2023,Bandung
L0131,C00131,59,Male,Married,2,High School,Salaried,45035525,4685942,376647515,BNPL,748,48,10.53,6518213,Active,0,Online,23-04-2025,Surabaya
L0132,C00132,47,Female,Single,2,Bachelors,Salaried,56017938,6849221,166639163,Mortgage,661,36,10,4677264,Delinquent,0,Partner,10-05-2023,Jakarta
L0133,C00133,29,Male,Single,0,Masters,Self-Employed,15149777,10276325,201504414,Personal,676,72,11.01,12538705,Active,0,Branch,27-09-2024,Medan
L0134,C00134,35,Male,Divorced,2,High School,Contract,12553925,9072684,21296266,Personal,570,60,13.61,3554131,Closed,1,Partner,28-09-2024,Jakarta
L0135,C00135,35,Female,Single,1,High School,Salaried,36209516,5583161,87575510,Personal,696,72,22.89,2884624,Active,0,Online,10-09-2022,Bandung
L0136,C00136,46,Male,Married,0,High School,Freelancer,41771094,3968178,43408376,Education,638,36,20.79,8787727,Active,0,Agent,28-10-2022,Medan
L0137,C00137,62,Male,Single,0,Masters,Freelancer,40919257,139133,70191873,Auto,596,24,14.92,11851623,Delinquent,0,Agent,25-05-2023,Medan
L0138,C00138,33,Male,Married,3,Bachelors,Freelancer,34088204,3809697,337978983,Auto,699,48,15.89,19383135,Closed,1,Online,26-10-2023,Jakarta
L0139,C00139,52,Male,Single,3,Bachelors,Self-Employed,15842502,7637547,297154792,Auto,752,48,12.25,11445675,Closed,1,Online,22-02-2024,Bandung
L0140,C00140,59,Male,Divorced,2,Masters,Self-Employed,51894926,12928077,71731354,Personal,710,12,19.27,15010312,Active,0,Agent,10-07-2023,Medan
L0141,C00141,52,Male,Married,3,Masters,Salaried,7180139,9851205,255959394,BNPL,709,48,20.84,9658202,Delinquent,0,Branch,30-07-2025,Surabaya
L0142,C00142,24,Female,Single,3,Bachelors,Self-Employed,8719194,270001,222655105,Auto,741,12,11.82,1050272,Active,0,Branch,04-01-2023,Surabaya
L0143,C00143,50,Female,Single,3,Bachelors,Salaried,41838169,14298468,185866726,Personal,634,36,8.67,10442494,Delinquent,1,Branch,22-11-2022,Bali
L0144,C00144,57,Male,Single,0,Masters,Self-Employed,6432672,14163953,436741860,Personal,716,24,17.98,14663305,Active,0,Partner,05-12-2022,Bali
L0145,C00145,43,Male,Married,0,Bachelors,Salaried,55895822,4617631,322061460,Auto,677,48,17,9874768,Active,0,Partner,04-05-2025,Bandung
L0146,C00146,59,Female,Single,0,High School,Self-Employed,56954211,11786178,403739321,Education,761,24,14.43,14556195,Active,0,Online,20-10-2024,Medan
L0147,C00147,35,Male,Married,3,Masters,Freelancer,36009388,1399298,67042308,Personal,621,60,18.3,18517392,Active,0,Online,17-03-2023,Surabaya
L0148,C00148,63,Male,Married,0,Bachelors,Salaried,44412278,4147413,346366259,BNPL,591,36,16.81,5276945,Active,0,Partner,20-08-2024,Surabaya
L0149,C00149,49,Male,Single,3,High School,Freelancer,11841023,5857109,190454316,Mortgage,778,48,12.01,15370931,Delinquent,1,Partner,29-07-2023,Bandung
L0150,C00150,56,Female,Married,0,Bachelors,Salaried,32694298,782409,131078100,Personal,558,72,14.36,2588321,Closed,0,Branch,15-02-2024,Medan
L0151,C00151,33,Male,Married,0,High School,Freelancer,49150968,7876146,373195228,Personal,574,48,14.85,19916679,Restructured,0,Agent,01-06-2023,Bandung
L0152,C00152,52,Female,Single,1,High School,Salaried,17160068,10106434,390990483,Personal,766,72,22.08,8491990,Active,0,Partner,27-11-2024,Jakarta
L0153,C00153,27,Male,Single,2,Masters,Salaried,7465596,10830332,302683068,Mortgage,774,12,23.37,8810360,Active,1,Online,26-02-2023,Surabaya
L0154,C00154,42,Female,Single,3,High School,Freelancer,20842433,13233244,320153253,Personal,551,24,22.29,2492669,Delinquent,1,Partner,23-11-2024,Bandung
L0155,C00155,48,Female,Married,1,Bachelors,Salaried,9405113,713391,191813907,Personal,568,12,19.51,17551253,Active,0,Branch,23-03-2025,Bandung
L0156,C00156,22,Male,Married,0,Bachelors,Freelancer,39968399,5755536,265272945,Auto,787,24,17.36,15549939,Active,1,Online,13-02-2023,Jakarta
L0157,C00157,62,Female,Married,3,High School,Salaried,58719638,13088262,12500120,Mortgage,569,60,19.03,11878998,Delinquent,0,Online,22-02-2024,Bali
L0158,C00158,26,Male,Married,0,PhD,Salaried,51670629,337164,23831553,Personal,783,12,23.03,18564776,Active,0,Partner,09-01-2025,Surabaya
L0159,C00159,48,Female,Married,2,High School,Salaried,33417654,7869815,76758264,Auto,782,36,12,15235298,Active,0,Agent,21-10-2024,Bandung
L0160,C00160,48,Male,Married,1,Bachelors,Salaried,43620879,11562817,75063839,Auto,783,36,16.56,3146081,Delinquent,1,Online,25-05-2024,Surabaya
L0161,C00161,64,Male,Married,2,Bachelors,Salaried,46272653,2763779,375896729,Auto,770,36,19.03,16286048,Active,1,Online,27-04-2025,Bali
L0162,C00162,64,Female,Single,1,High School,Salaried,45411036,2858214,483694661,BNPL,619,36,18.87,7668845,Delinquent,0,Branch,07-12-2023,Bandung
L0163,C00163,40,Male,Single,0,High School,Salaried,15071586,2234967,325434664,Personal,566,48,12.04,6862316,Active,0,Partner,14-08-2025,Jakarta
L0164,C00164,50,Male,Single,2,Masters,Salaried,16462734,2020880,114718328,BNPL,673,12,17.39,16488221,Closed,0,Partner,06-03-2024,Surabaya
L0165,C00165,31,Female,Single,2,PhD,Contract,20317570,6919219,307358658,Mortgage,638,24,20.73,6577558,Active,1,Branch,07-10-2023,Jakarta
L0166,C00166,48,Male,Married,0,High School,Contract,24396438,11189893,109887840,Auto,779,48,15.6,4447822,Closed,0,Branch,22-03-2024,Bali
L0167,C00167,45,Male,Divorced,2,Bachelors,Salaried,40490204,10804946,166876288,Mortgage,745,48,20.69,1083576,Active,0,Online,09-05-2023,Bali
L0168,C00168,59,Female,Single,3,Masters,Self-Employed,28175713,4243780,213522866,Auto,643,36,13.76,3117709,Delinquent,0,Branch,09-11-2022,Surabaya
L0169,C00169,53,Female,Single,1,Masters,Salaried,59900320,3893193,482191748,Personal,633,60,23.02,12031873,Active,0,Online,09-09-2022,Bali
L0170,C00170,21,Male,Married,1,Bachelors,Self-Employed,7422952,14970760,388108818,Mortgage,680,36,16.54,5174865,Active,0,Partner,16-06-2025,Medan
L0171,C00171,47,Male,Divorced,1,Bachelors,Freelancer,53950934,11206362,495830539,Auto,636,36,17.54,14820357,Closed,0,Online,12-11-2023,Surabaya
L0172,C00172,33,Female,Single,3,Bachelors,Freelancer,53716358,5681868,472904879,Mortgage,600,12,8.5,9011194,Active,0,Branch,04-08-2024,Medan
L0173,C00173,61,Female,Married,1,Masters,Salaried,58553666,14592722,148314648,Personal,631,36,10.72,2977247,Active,1,Online,25-03-2024,Bali
L0174,C00174,23,Male,Single,0,Masters,Self-Employed,6861663,11170068,369879480,Education,703,48,18.13,19392487,Active,0,Branch,09-02-2024,Surabaya
L0175,C00175,59,Female,Single,2,High School,Salaried,43918430,1255959,385114098,Auto,733,12,14.72,12654619,Active,1,Online,15-06-2025,Medan
L0176,C00176,26,Male,Divorced,3,Bachelors,Contract,53933457,12652005,87571362,Personal,777,24,16.13,15305743,Active,0,Online,21-11-2024,Bali
